run,tag,step,value
model_602,Episode_Reward/ang_vel_y_l2,598,-0.013435738161206245
model_602,Episode_Reward/ang_vel_y_l2,599,-0.012591052800416946
model_602,Episode_Reward/ang_vel_y_l2,600,-0.013037499971687794
model_602,Episode_Reward/ang_vel_y_l2,601,-0.012750606052577496
model_602,Episode_Reward/ang_vel_y_l2,602,-0.012877173721790314
model_602,Episode_Reward/ang_vel_z_l2,483,-0.0005474119680002332
model_602,Episode_Reward/ang_vel_z_l2,484,-0.0009340783581137657
model_602,Episode_Reward/ang_vel_z_l2,485,-0.0007635385263711214
model_602,Episode_Reward/ang_vel_z_l2,486,-0.0007025795057415962
model_602,Episode_Reward/ang_vel_z_l2,487,-0.0007489976123906672
model_602,Episode_Reward/ang_vel_z_l2,488,-0.0009065212798304856
model_602,Episode_Reward/ang_vel_z_l2,489,-0.0008805072284303606
model_602,Episode_Reward/ang_vel_z_l2,490,-0.000763279851526022
model_602,Episode_Reward/ang_vel_z_l2,491,-0.0008076528902165592
model_602,Episode_Reward/ang_vel_z_l2,492,-0.0011109523475170135
model_602,Episode_Reward/ang_vel_z_l2,493,-0.000535546918399632
model_602,Episode_Reward/ang_vel_z_l2,494,-0.00035539493546821177
model_602,Episode_Reward/ang_vel_z_l2,495,-0.0003882163146045059
model_602,Episode_Reward/ang_vel_z_l2,496,-0.0004348944057710469
model_602,Episode_Reward/ang_vel_z_l2,497,-0.0004896646714769304
model_602,Episode_Reward/ang_vel_z_l2,498,-0.0004948668065480888
model_602,Episode_Reward/ang_vel_z_l2,499,-0.00046015973202884197
model_602,Episode_Reward/ang_vel_z_l2,500,-0.000462348572909832
model_602,Episode_Reward/ang_vel_z_l2,501,-0.00044012043508701026
model_602,Episode_Reward/ang_vel_z_l2,502,-0.0005013134214095771
model_602,Episode_Reward/ang_vel_z_l2,503,-0.000492486753500998
model_602,Episode_Reward/ang_vel_z_l2,504,-0.000499974936246872
model_602,Episode_Reward/ang_vel_z_l2,505,-0.00044928176794201136
model_602,Episode_Reward/ang_vel_z_l2,506,-0.000417820323491469
model_602,Episode_Reward/ang_vel_z_l2,507,-0.0004031429998576641
model_602,Episode_Reward/ang_vel_z_l2,508,-0.0004142636898905039
model_602,Episode_Reward/ang_vel_z_l2,509,-0.0003677482600323856
model_602,Episode_Reward/ang_vel_z_l2,510,-0.0003780743863899261
model_602,Episode_Reward/ang_vel_z_l2,511,-0.00040046582580544055
model_602,Episode_Reward/ang_vel_z_l2,512,-0.0004348814254626632
model_602,Episode_Reward/ang_vel_z_l2,513,-0.00040888984221965075
model_602,Episode_Reward/ang_vel_z_l2,514,-0.0003889161453116685
model_602,Episode_Reward/ang_vel_z_l2,515,-0.0003954112180508673
model_602,Episode_Reward/ang_vel_z_l2,516,-0.00038765641511417925
model_602,Episode_Reward/ang_vel_z_l2,517,-0.00037600655923597515
model_602,Episode_Reward/ang_vel_z_l2,518,-0.0004086204571649432
model_602,Episode_Reward/ang_vel_z_l2,519,-0.0004076220211572945
